
2024/08/24 (23:01:43) | ===> btop++ v.1.3.2
2024/08/24 (23:01:43) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/25 (00:58:57) | ===> btop++ v.1.3.2
2024/08/25 (00:58:57) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/08/27 (13:15:52) | ERROR: failed getting network interfaces

2024/08/27 (23:54:13) | ===> btop++ v.1.3.2
2024/08/27 (23:54:13) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/12/05 (05:15:11) | ===> btop++ v.1.3.2
2024/12/05 (05:15:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/05 (06:06:30) | ===> btop++ v.1.3.2
2024/12/05 (06:06:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/28 (03:29:43) | ===> btop++ v.1.3.0
2024/12/28 (03:29:43) | ERROR: Stall in Runner thread, restarting!

2025/01/20 (18:59:14) | ===> btop++ v.1.3.0
2025/01/20 (18:59:20) | ERROR: Stall in Runner thread, restarting!

2025/03/02 (21:14:59) | ===> btop++ v.1.3.0
2025/03/02 (21:14:59) | ERROR: Stall in Runner thread, restarting!
